,jobs/job_title,skills,job_description
4095,Junior Data Analyst,"Active Directory,Business Analysis,Databases,HTML,Integration,ITIL,Java,JavaScript,Linux,Management,Microsoft Office,Microsoft SQL Server,MySQL",create new users online banking profile change entitlements online banking users review user access requests ensure accurate set approve requests multiple banking portals provide data accurate reliable ensure information easily available users direct consumption integration another system coordinate serve intermediary internal stakeholders subsidiaries banks extended treasury teams departments maintain detailed reporting activities keeping stakeholders informed prepare departmental metrics reports
4100,Full Stack Developer,".NET,Agile Methodologies,Architecture,C#,C++,Distributed Systems,Java,JavaScript,Linux,MySQL,Scrum,SOA,Software Design",part security development team build innovative security solutions security smart cities critical infrastructures responsible technical solution designs code development component test execution demonstrate alignment product functional specification solution develop demonstrate broad set technology skills web application technologies micro service design patterns open source libraries frameworks technology architecture concepts collaborate product solution architects create implement maintain product solution development roadmap ensure work adheres software development methodologies processes thoroughly document design ensure usability supportability maintainability developed perform sub system installation configuration integration support poc demo
4109,"Associate, PMO Administrator, Institutional Banking Group Technology, T&O (WD04317)","Business Development,Business Strategy,Customer Service,Due Diligence,Financial Analysis,Financial Modeling,Leadership,Management,Marketing,Mergers & Acquisitions,Microsoft Excel,Microsoft Office,Private Equity",business function group technology operations enables empowers bank efficient nimble resilient infrastructure strategic focus productivity quality control technology people capability innovation group manage majority bank 's operational processes inspire delight business partners multiple banking delivery channels key accountabilities work partnership respective platform leads partners following areas managements tracking reporting bau projects financials resource management monitoring reporting ensure timely submissions project programme status reports documentations reports required management reporting project stage gate approval ensure pms adhere project governance contract management finance accounting policies consolidate prepare reports management update maintain create templates pmo responsibilities onboard new project managers assist advise project managers project documentations processes reporting usage ppm tool business case preparation validation timely contracts financial tracking reporting ensure timely charge development effort projects work platform leads tracking reporting management following project program status financials headcount including onshore offshore dbs staff vendors drive initiatives bau budget submissions future ready platforms review completeness submissions yearly budget exercise
4124,Scrum Master,"Business Analysis,Business Intelligence,Business Process,CRM,Databases,ERP,Integration,Java,JavaScript,Management,Microsoft SQL Server,Oracle,Program Management",leads guides development team defines requirements completion criteria iteration plans iterations overall schedule ensures consistency different work produced development teams participates reviews client business analyst business users service request plans develops executes technical project plan understands detailed business requirements translates technical specifications deliverables technical team performs impact analyst proposes project approaches solutions performs application design performs application build plans performs unit test system test integration test performs reviews technical deliverables assists project manager architect test planning execution quality management activities defines develops coordinates systems interface across teams works infrastructure team coordinate project deployments project environment setup works client client appointed third party vendors performance security test required plans develops execute technical deployment plan plans develops executes systems data migration plan enforces configuration management version control microsoft team foundation server responsible code merge code integration multiple projects project artefacts microsoft sharepoint project library familiar various delivery frameworks process e g application delivery methodology testing methodology quality management systems engineering assists architect technical solutioning systems engineering activities understands coordinates production change requests processes required system implementation develops technical user documentation evaluates new technology required conducts user training supports client disaster recovery activities supports production problem solving performs requirements gathering analysis develops consolidated requirements documents functional specifications requirements gathering workshop brainstorming session various stakeholders elaborate requirements identifies opportunities improve efficiency business processes develops functional conceptual design new applications enhancement existing applications develops prototype validate functional requirements provides domain expertise recommendations assessing new software projects initiatives support enhance systems understands develops model business data relationship processes identifies performs business gap analysis
4128,IT System Administrator,"Active Directory,Business Development,Cloud Computing,Direct Sales,Disaster Recovery,Information Technology,Leadership,Linux,Management,Marketing,Marketing Communications,Marketing Strategy,Microsoft Office",provide support managing operations functions local regional offices infrastructure network security ip telephone systems customised business applications well maintenance update users computer systems provide technical support helpdesk service staff end users pc hardware software applications related requests assist conducting user training systems software applications security administer upkeep required systems administrative documentation user accounts internal asset loan review changes sop processes assist deploy manage software applications solutions enhancements existing new users assist manager tracking assets equipments purchase related equipment control related inventories ensure security data network access backup systems provide ad hoc support required including hours support event service outages preventive maintenance routine whenever applicable
4129,SAP MM / LE Functional Specialist,"Analysis,Business Analysis,Business Development,Business Intelligence,Business Process,Business Process Improvement,Business Strategy,Change Management,CRM,Integration,Leadership,Management,Management Consulting",responsibilities include working project team direct responsibility functional implementation supply chain ensure successful overall project implementation following sdlc software development life cycle assist project manager define project implementation strategy testing migration actual cut strategy streamline issue resolution escalation involve business user requirements able contribute derive cost effective solution meeting business objectives define propose review comment functional technical aspect business unit improving quality solutions work various stakeholders enable success project work vendor requirements participate workshops review comment proposals vendor assist business unit mapping requirements sap system verify solutions designed vendor assist development test scripts sit together vendor assist users uat together vendor finalize configuration support solution work vendor project manager new integration non sap system sap mm qm new setup mm qm areas
4130,Application tester,"Access,Analysis,Business Analysis,EHR,EMR,Healthcare,Healthcare Information Technology,Integration,Microsoft Office,Microsoft SQL Server,Process Improvement,Project Management,Requirements Analysis",develop establish qa deliverables testing framework create maintain automated test framework support continuous development conduct extensive manual functional exploratory testing conduct performance load tests conduct application performance security testing conduct impact analysis defect fixes work business analyst uat data preparation support conduct system integration tests external parties
4132,Validation Engineer,"Aseptic Processing,C,C++,CAPA,Change Control,Embedded Systems,FDA,GMP,Manufacturing,Matlab,Medical Devices,Quality Assurance,Quality System",op preparations preparation computer system validations scientific applications pharma medical manufacturing companies iq oq protocol preparation execution validation protocol preparation execution gap analysis scientific applications effectiveness check scientific applications review computer system validations documents user requirements specifications functional requirements specifications frs development validation scripts operational process installation qualification oq iq execution oq validation summary report accountable specific application deliverables validation master plan user requirements functional specifications risk assessment analysis validation protocols iq oq trace matrix validation summary report installation maintenance windows 2008 2012 r2 servers handling troubleshooting backup applications like symantec backup hp data handling troubleshooting issues server connected software 's preparation sops protocols plants pharma ltd instruments installation qualifications preparation iq risk assessments review oq preparation gap analysis preparation change controls sop preparation 21 part traceability validation report preparation review quality production qualification documents planning scheduling day day weekly monthly backups troubleshooting backup software applications troubleshooting empower application lab solutions related issues troubleshooting instruments applications data backup tapes records document review data controls group policy maintenance responsible data back co ordinating vendors new software installations iq oq documents revision sops handling incidents change controls validation projects handled
4138,"Sales Development Representative, Singapore","Account Management,B2B,Business Development,Business Strategy,Cold Calling,CRM,Customer Service,Lead Generation,Leadership,Management,Marketing,Marketing Strategy,Negotiation",us ambitious goal helping innovators build better world data started 2009 today one fastest growing enterprise companies history revenue end 2017 world technological driven ai machine learning virtual reality quantum computing self driving cars require large amounts data put pure technology driver solutions deliver real time secure data power mission critical production devops modern analytics multi cloud environments score top 1 b2b companies worldwide customer first culture commitment innovation create company employees customers partners investors love information business check corporate fact sheet prospect identify net new opportunities identify qualify set appointments field counterparts deep understanding research key target accounts work closely field marketing develop outbound call campaigns help progress opportunities needed directed field qualify respond daily marketing generated leads work closely account executive field sales identify sales targets initiatives penetrate new accounts work channel outbound prospecting campaigns partners communicate early often marketing strategy lead generation lead programs continually keep current storage trends companies news releases competitor news daily use sales enablement tools including limited salesforce com linkedin approximately 5 10 travel required training regional visits enterprise briefings customer visits
4145,EDM TECHNICAL ANALYST,"Analysis,Business Analysis,Business Intelligence,Data Analysis,Databases,Disaster Recovery,Integration,Java,Microsoft SQL Server,Oracle,Project Management,Requirements Analysis,Requirements Gathering",business requirement analysis technical design documentation contribute phases development lifecycle test case execution test results documentation updates specifications fsd tdd timely reporting interface issues follow actively case till closure timely update issue registers determine investigate resolve ui data workflow issues preparation update standard operating procedures application support team
4146,System Engineer,"Active Directory,Data Center,Integration,ITIL,Java,Linux,Microsoft SQL Server,MySQL,Networking,PHP,Project Management,Servers,Software Development",financial adviser fund management company licensed mas aim empower consumers live life full helping make wise money decisions easily confidently singapore 1st financial adviser means best humans technology dedicated client advisers technology platforms come together journey customers every stage life responsibilities main point contact windows servers end users desktop issues administer support troubleshoot office365 services mixed desktops platform windows servers running active directory dns dhcp file print services relevant software anti virus cctv administer support troubleshoot network services lan wifi switches routers firewall telco circuit vpn perform system planning change management tasks proactively monitor systems recommend enhancements upgrades needed build maintain scripts automate enhance support efficient running systems create maintain operational documentations guides sops relevant change control documents ensure standardized system environments perform vendors management course daily task operations perform 24 7 system support needed
4151,Project Manager (Application Services),"Budgets,Business Analysis,Business Development,Business Strategy,Change Management,Construction,Contract Management,Integration,Leadership,Management,Microsoft Office,MS Project,Process Improvement",define project scope deliverables requirements ensure resource availability allocation manage change project scope schedule costs using appropriate verification techniques initiate organize regular meeting provide update project progress create maintain comprehensive project documentation develop strategic plans prioritize daily operations achieve project objectives identify highlight potential project risks develop necessary risk mitigation plans coordinate internal resources third parties vendors flawless execution projects maintain effective project governance processes systems utilized throughout project
4154,"Vice President, Data Science","Analysis,Business Analysis,Clinical Data Management,Clinical Trials,Data Analysis,Data Management,Databases,Earth Science,EDC,GCP,Information Management,Leadership,Management",business overview perx technologies provides fully integrated solution combines next generation saas loyalty management system omni channel marketing technologies deliver revenue driving digital customer experiences perx loyalty customer engagement platform allows large b2c enterprises drive meaningful digital customer experiences targeted millions customers enabled platform trusted likes uob central group axa prudential among others south east asian european markets drive revenue company understands product innovation comes people innovation invest cultivating leaders throughout organization passionate creating contributing top notch culture talent pool join us job overview vice president data scientist manages team data scientists within perx technologies drive value business leveraging ai machine learning work product engineering teams define problem statement develop solution advanced analytic techniques address key business challenges role champion project lead implementation analytic data technology stack associated data models integration patterns quality frameworks governance models essential functions lead guide manage team experienced data scientists accountable team delivery data science projects drive value business partner business stakeholders understand needs identify opportunities apply data science evaluate recommend architect build big data platform solutions understanding business needs oversee process data exploration preparation conduct experiments review model performance presentation results business stakeholders feedback lead presentation key insights management actionable recommendations manage team facilitate deployment solutions production environment lead design reviewing implementing analyzing algorithms impact company understanding data mentoring managing junior members team grows fostering talent development continued growth technology team general work chief technology officer ceo product manager answer key questions projects transform business assist development skill set multi disciplinary team evolve statistical services key decision influencers expected areas competence experience working enterprise level data multi national companies hands role influence shape data acquired stored integrated consumed channels business primarily enterprise platform offering experience building managing big data sql database like nosql database like cassandra hbase plus direct experience working within modern engineering environment linux system architecture java mapreduce python postgresql programming hadoop etc experience large scale algorithm challenges data multiple complex data sets implementing solutions aws particular usage aws machine learning possess strong project management skills help successful guidance direction team members whilst working hands delivering implementation data architecture solutions ensuring stakeholder satisfaction possess complete expertise area technical domain act sme working closely stakeholders within technology team demonstrated experience architecting building maintaining big data platform store support enterprise level analytic projects proven experience creating building implementing data fabric data quality governance frameworks open source frameworks like puppet chef deployment configuration management plus hands experience big data data mining predictive analytics deep knowledge traditional data structure database design data warehouses operational data stores hands experience sourcing architecting suitable solutions sas sap emc mysql sql server hadoop mapreduce hbase etc
4160,Applications Engineer,"Automation,C,C++,Cross-functional Team Leadership,Electrical Engineering,Electronics,Embedded Systems,Engineering,Integration,Java,JavaScript,Management,Manufacturing",position applications engineer location tai seng working hours 9am 6 30pm mon fri salary 6000 medical benefits duration perm main responsibilities responsible designing developing implementing programs applications create applications respond customer needs provide innovative solutions common problems perform prototyping application tests code reviews ensure product satisfactory responsible existing software addition new developments perform debugging testing code improvement designing tasks provide technical support customers includes responding customer issues providing updated software solves bug issues installs customers working operation development team
4166,Applications Infrastructure Consultant,"Business Analysis,Business Intelligence,Business Process,CRM,Databases,ERP,Integration,Java,JavaScript,Management,Microsoft SQL Server,Oracle,Program Management",job description 1 responsible aspects application infrastructure roche diagnostics asia pacific region including limited manage regional data centre application infrastructure compliance approved policies procedures standards 2 collaboration across solution centers affiliates apac region 3 understand data centre infrastructure capabilities existing conditions roadmap 4 please make sure application deployment usually weekends essential duties responsibilities include following duties may assigned
4167,Senior Frontend Developer,".NET,Agile Methodologies,ASP.NET,C#,C++,CSS,Databases,HTML,Java,JavaScript,jQuery,Microsoft SQL Server,MySQL",responsible converting existing enabling application web site collaborates database team design data architecture translates additional business requirements technical solution documents logic code key driver innovative analytics visualizations using new technologies web site co designs virtual reality application analytics team web site long term responsibility translate business requirements user friendly web application solution documentation code logic works database team develop infrastructure virtual reality application recommend ways improve analytics visualization working enabling analytics team answer questions related developed website implemented logic improvement initiatives drive progress improvement initiatives supporting clear plans owners timelines execute assigned activities related improvement initiatives coordinate track completion assigned initiatives
4172,Senior  /  Systems Analyst (Ref 20359),"Active Directory,Data Center,Integration,ITIL,Java,Linux,Microsoft SQL Server,MySQL,Networking,PHP,Project Management,Servers,Software Development",provide going application support involved various stages sdlc conduct user requirement analysis development implementation new systems enhancements existing systems evaluate potential solutions make recommendations resolve business problems involvement system integration testing phase prior implementation plan coordinate end user training system implementations enhancements liaise closely business users build good rapport liaise closely vendors project implementation application testing supporting application patches upgrades accordance project methodologies policies support team defining project requirements tracking documentation provide 24 7 primary application maintenance support
4174,NAV Technical Consultant,".NET,Agile Methodologies,ASP.NET,C#,C++,CSS,Databases,HTML,Java,JavaScript,jQuery,Microsoft SQL Server,MySQL",responsibilities development enhancement customization nav environment configure system according incoming user requests within time frame internal testing based user scenarios training key users assist testing support maintenance nav
4175,Mobile Developer,"CAD,Continuous Improvement,Cross-functional Team Leadership,Electronics,Engineering,Engineering Management,FMEA,Lean Manufacturing,Management,Manufacturing,Matlab,Product Design,Product Development",mobile responsive web native android app development develop iot drive application works gps wifi integrate mobile app backend web services api design create private app repository publish app regular updates play store private app repository
4188,"Software Engineer – Cloud Computing – Observability, Associate","Business Development,Business Strategy,Customer Service,Due Diligence,Financial Analysis,Financial Modeling,Leadership,Management,Marketing,Mergers & Acquisitions,Microsoft Excel,Microsoft Office,Private Equity",global technology infrastructure group team innovators rewarded innovators love technology much together use disciplined innovative business focused approach develop wide variety high quality products solutions work stable resilient secure operating environment products deliver thrive member software engineering group dive head first creating innovative solutions advance businesses careers join inspiring curious team technologists dedicated improving design analytics development coding testing application programming goes creating high quality software new products tasked keeping team key stakeholders speed progress developed coming understanding importance end end software development agile frameworks key best working sharing ideas information innovation global team technologists world cloud services group passionate innovators like rapidly designing building deploying internal public cloud platforms putting technological know work creating best class cloud aware applications efforts help us work faster smarter reinforce position global leader fintech cloud services
4202,SAP FICO Consultant - Permanent Position with a large Manufacturing Organization - Immediately Avail,"Analysis,Business Analysis,Business Development,Business Strategy,Change Management,Entrepreneurship,Integration,Leadership,Management,Management Consulting,Marketing,Marketing Strategy,Program Management",provide global application maintenance service users company supported sap business applications provide global application maintenance support service users via email phone based company methodologies standard tools troubleshoot resolve incidents sap standard applications company specific developments serve liaison among user global application maintenance colleagues regions write maintain help desk documentation within service management system document resolutions future reference known error conduct testing application changes prepare test data document test results support development training materials
4205,Human Resource Manager,"Change Management,Employee Benefits,Employee Engagement,Employee Relations,HR Consulting,HR Policies,HRIS,Human Resources,Interviews,Management,Onboarding,Organizational Development,Performance Management",responsible human resource related works enterprise group singapore report singapore enterprise group hr director require provide professional human resource solution local office require work team either regional hq local team require work minimum supervision complete tasks assigned require able develop implement human resources policies procedures require able implement monitor performance management system maintain human resource information system employee database
4212,SAP MDG Consultant,"ABAP,Business Analysis,Business Intelligence,Business Process,Data Migration,ECC,ERP,IDOC,Integration,Materials Management,Requirements Analysis,SAP,SAP BW",design development implementation mdg master data governance
4217,Software Engineer (Applications),"AutoCAD,C,C++,Engineering,Integration,Java,Linux,Management,Manufacturing,Matlab,Microsoft Office,Product Development,Program Management",engineering team responsible building robust predictive platform add significant value bfsi vertical solving operational compliance risk problems take pride building system right continuously evolving freedom choose right tools task also encourage participate contribute open source community
4230,Drone Software Engineer,"Algorithms,C,C++,Computer Science,Data Mining,Engineering,Image Processing,Java,LaTeX,Linux,Machine Learning,Matlab,Programming",team pioneers development cutting edge cross platform apps engineering construction sector flagship product screening eagle virtual inspection platform holistic portal asset monitoring maintenance inspection software engineer developing software handles command control perform inspections semi autonomously includes flight path determination communication hardware via software interface sdk integration technologies indoor position tracking computer vision algorithms ensure application robust addresses objectives easy maintain role work closely team product managers ui ux designers software engineers commitment collaborative problem solving important responsibilities continued development improvements ios app allows user construct flight path sent implement related command control software required operation review literature related technologies explore assess integrate related technologies depth computer vision algorithms enhance performance work fellow team members develop test software hardware aspects system
4236,Regional Business Development Manager,"Account Management,Business Development,Business Strategy,Competitive Analysis,CRM,Leadership,Management,Marketing,Marketing Strategy,New Business Development,Product Development,Product Management,Product Marketing",would like engage organizations help achieve extensive business value migrating technology landscapes aws interested helping technical debt accelerate innovation come join aws database business development team help enterprise customers realize value database services amazon web services aws 're hiring business development managers work enable enterprise account teams customers accelerate cloud migration journey driving customer engagement exciting opportunity shape deliver database migration business within enterprise segment business development manager within aws would able shape future database platform industry establish amazon leader enterprise cloud computing space would use technical commercial skills inspire motivate enterprise customers migrate legacy commercial databases incl oracle ms sql db2 aws services redshift working hand hand sales teams solution architects would develop execute database migrations based developing technical commercial migration pathways running pocs large scale migrations depth knowledge database market help enterprise customers understand improve businesses using right aws database services operationally commercially excellent verbal written communication skills allow build sales enablement tools drive demand generation campaigns evangelize database platform enterprise customers valued partners role focused driving successful outcomes customers developing ip mechanisms build repeatable engagements building effective partner ecosystem ideal candidate possess business background enables drive engagement interact cxo vp level well technical background enables easily interact software developers architects also demonstrated ability think strategically analytically business product technical challenges ability build convey compelling value propositions work cross build consensus keen sense ownership drive must roles responsibilities working customers business objectives organizational future state accelerate transformational change database migration aws platform drive cross functional team large scale opportunity development closing incl building business cases proposals plans help customers identify realize business value outcomes drive evolution ip mechanisms build repeatable customer engagements develop execute database migration pathways including detailed technical commercial assessments incl licensing assessments create strategic business development plans enterprise market ensure plans line aws strategic direction develop industry specific messaging collateral materials effectively communicate aws value proposition enterprise cloud migration execute strategic business development plans working closely internal stakeholders e g sales marketing partner teams solution architects professional services support teams legal contract teams aws service teams understand unique business technical requirements customers work closely internal development teams guide direction product offerings largest complex customers develop enterprise partner ecosystem migrations across selling delivery understand exploit use salesforce com internal amazon systems campaign tracking pipeline management prepare present business reviews senior management team regarding progress roadblocks closing new enterprise customers manage complex enterprise contract negotiations cooperation aws legal professional services teams creative prospecting campaigns business partners activities identify new customers clearly articulate aws database platform propositions customers partners internal staff
4252,Software Developer,".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",software developer primary job responsibilities include limited develop customer specific kpis based blocks understanding business need deliver high quality meeting deadlines work closely product manager operation team r team responsible regional configurations tasks responsible regional kpi customization monitoring ad hoc assignment
4256,Senior Creative Designer,"Adobe Creative Suite,Advertising,Art Direction,Concept Development,Corporate Identity,Creative Direction,Graphic Design,Graphics,Illustration,Illustrator,InDesign,Interaction Design,Logo Design",lead ux team manage aspect ux end end work stakeholders users synthesize findings come ux design responsible ensuring design work acceptable create design strategies guidelines review ensure quality consistency ensure user interface compliance consistency usability standards work closely front end designers developers create high quality design prototype train team sustaining design
4258,"Senior Technical Lead - Design, Development and testing of ATE, Server Racks and Mixed signal board",".NET,Agile,Agile Methodologies,C#,Databases,Enterprise Architecture,Integration,Java,Microsoft SQL Server,Oracle,PL/SQL,Requirements Analysis,Scrum",lead engineer demonstrates leadership communicating business goals programs processes area business segment role utilize experience expertise solve problems develop execute objectives self others ability effect short term long term business goals knowledge server design development well mixed signal board system design testing preferable
4260,Regional Business Development Manager,"Account Management,Business Development,Business Strategy,Competitive Analysis,CRM,Leadership,Management,Marketing,Marketing Strategy,New Business Development,Product Development,Product Management,Product Marketing",would like managing relationships private equity pe community influencing decision making towards utilizing amazon web services basis portfolio companies infrastructure business savvy technical insight background necessary pe ecosystem help establish amazon leader cloud computing space business development manager within aws exciting opportunity help shape deliver strategy build mind share broad use amazon cloud computing platform within pe firms portfolio companies responsibilities include identifying appropriate pe target driving necessary business strategic technical relationships pe portfolio companies establish new business accounts working closely aws sales team drive day day interactions portfolio companies order build long term business opportunity also work closely aws strategic corporate development business development product management partner marketing teams strategic initiatives tie pe community ideal candidate possess business background enables drive engagement interact cxo vp level well technical background enables easily interact software developers architects also demonstrated ability think strategically analytically business product technical challenges ability build convey compelling value propositions work cross build consensus keen sense ownership drive must roles responsibilities serve key member business development team helping drive overall aws market technical strategy identify key portfolio companies infrastructure needs drive engagement execute strategic business development plan working key internal stakeholders e g sales teams partners marketing support etc work closely portfolio companies ensure successful using web services making sure technical resources required understand actively utilize salesforce com internal amazon systems prepare give business reviews senior management team regarding progress roadblocks establishing new pe engagements serve primary eyes pe community behalf aws amazon handle high volume engagements fast pace cloud computing market relevant business level technical knowledge required database systems core distributed computing concepts fundamentals cloud computing virtualization storage systems content delivery networks etc ability go deep enough technical aspects differentiate varied aws services information amazon web services please visit http aws amazon com
4264,IT Assistant Manager  /  Manager,"Business Analysis,Business Intelligence,Business Process,Business Process Improvement,Business Strategy,Change Management,Governance,ICT,Information Management,ITIL,Leadership,Management,Management Consulting",assistant manager manager part team contribute planning design implementation management infrastructures systems responsibilities work internal external stakeholders manage technology systems development understand cabling infrastructures e requirements networks network equipment data centres servers applications guide instruct system engineers implement systems ensure service delivery meet requirements standards
4267,AGES CGEM Systems Engineer,"Active Directory,Cloud Computing,Data Center,Disaster Recovery,Integration,Java,Linux,Management,Project Management,Security,Servers,Software Development,SQL",'ll love cisco change world become passionate employer brand represent everything internet making networked connections meaningful ever lives employees ' ideas impact everything entertainment healthcare education public private sectors smart cities everyday devices homes means take creative ideas drawing board dynamic solutions real world impact cisco evolving rich solution portfolio next generation software hardware services meet customers ' changing business requirements digital economy 'll global account systems engineer customer focused technical sales professional provides high level technical support mentorship customers collaborate account manager recommend develop appropriate customer solution offerings provide architectural perspective across cisco product portfolio use technical specialization specific opportunities participate creation overall account plan technical account plan generate leads customer meetings seminars education qualify opportunities 'll define customer business problem technical context help plan move deals sales process knowing engage appropriate cisco partner tools resources se engineers etc define solution options articulate benefits cisco solution highly motivated research demonstrate solution return investment coordinate solution development including using architectures researching customized solutions 'll develop proof concept including presentation documentation test results present technical components cisco solutions customer develop handle development presentation materials competencies behaviors business insight learn wide level knowledge business economics trends industries vertical markets one 's customers conduct business cisco solutions add financial strategic value enjoy building relationships within outside cisco establish credibility personal self confidence 'll work technical specialist se acts increasingly consultative fashion expert trusted technical advisor field account team customer ses engage customers face face via collaborative tools technology etc part cisco country global enterprise model ages americas necessary work cross functionally various members headquarters team ensure alignment global account strategy consistent local implementation
4273,Solution Developer,"Agile Methodologies,C#,C++,CSS,Databases,Git,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",dynamic fast growing software company whose list clients includes major global financial institutions corporations offer complete line software tools risk management compliance financial control areas technology combines object oriented programming relational database technology graphical user interfaces sophisticated financial models software laboratories headquartered new york regional offices across world clients include tier 1 international financial institutions looking outstanding candidates wish work challenging fast paced organisation join growing team staff responsibilities
4277,Senior Software Engineer,"Agile Methodologies,C#,C++,HTML,Integration,Java,JavaScript,jQuery,Linux,MySQL,PHP,Project Management,Scrum",love buying selling carousell meet team various parts mobile applications website backend systems order deliver best user experience carousell engineering team works problem domains get work building buying selling experience mobile applications dive deep database systems powers business even work tools empower rest teams carousell ensuring user experience stays simple complicated take pride work keep things way
4278,Technical Lead,"Agile Methodologies,AJAX,Cloud Computing,Design Patterns,Hibernate,Java,Java Enterprise Edition,JavaScript,jQuery,Linux,Maven,MySQL,PHP",responsible tech lead customer manage cards application specifically area cms rewards system responsible providing solution design value business users banking domain responsible onsite coordinator offshore team walkthrough review design documents code deliveries onsite offshore working model responsible managing 1 project time pro active self motivated quickly shift tasks manage work closely daily basis scrum team key stakeholders business owner maintain responsibility developing requirements user stories facilitating meeting business stakeholders elaborate dependencies milestones status updates raise issues risks product owners senior management prepare accurate detailed project specific artifacts like functional spec design documents user manuals implementation plan train user pre implementation phase first point contact sit uat production issues
4287,INFORMATION TECHNOLOGY PROJECT MANAGER - ENGAGEMENT MANAGER,"Business Analysis,Business Intelligence,Business Process Improvement,Change Management,Integration,IT Management,IT Strategy,ITIL,Management,MS Project,PMP,Process Improvement,Program Management",us palo innovation agile development company design research devops business end end development breakthrough digital experiences community innovators developers also aim renewing way organizations operate promoting sustainable business agility user centricity open collaboration fun started france 2009 offices singapore australia hong kong thailand mexico looking next superstar join exciting team singapore palo employees widgets center projects successes offer exciting creative working environment endless opportunities develop skills travel take career next level get touch find vision values aspire positively impact world empowering organisations harness power transformative technology greater good care world act courage share dna choose positivity deliver awesomeness profile role project thrive challenge last time failed curious always learning w hat right deal constant change last surprised mastered least one skill trade defined teach us wear many hats
4291,Senior SAP Consultant,"ABAP,Business Analysis,Business Process,ECC,ERP,IDOC,Integration,Inventory Management,Materials Management,Requirements Analysis,SAP,SAP BW,SAP ERP",pre requisite candidate pre requisite required competencies da consultant good knowledge data science analytics especially areas data analysis predictive modelling using r python sas equivalent mandatory data visualisations using tableau qlik sense mandatory data engineering using sql spark hive equivalent mandatory deep learning using keras tensorflow equivalent preferred others skills candidates able understand business processes propose innovative solutions good planning coordination time management skills strong writing verbal communication presentation skills good team player responsible conscientious resourceful independent responsive pro active required working experience da consultant least 3 years experience related da fields proposed staff proven track record developing deploying da solutions data analytics experience domain predictive maintenance anomaly detection preferred
4296,Technical Lead - Java / J2EE,"Agile Methodologies,AJAX,Cloud Computing,Design Patterns,Hibernate,Java,Java Enterprise Edition,JavaScript,jQuery,Linux,Maven,MySQL,PHP",must hands java j2ee spring boot spring batch developing enterprise applications good understanding technical assessment implementing complex solutions posses good knowledge secure coding practices well versed overall technical architecture develop complex highly interactive web based gui technologies html css js jquery well versed new technologies like angular js etc write new code maintain existing usable code strong knowledge oracle plsql required knowledge oracle service bus oracle service registry advantage well versed different frame works like spring 4 3 hibernate etc ability establish priorities work independently lead team 3 4 technically must strong communication presentation skills comfortable leasing stakeholders independently
4299,AWS Architect,"Agile Methodologies,Architectural Design,Architecture,Architectures,AutoCAD,Cloud Computing,Comprehensive Planning,Design Research,Enterprise Architecture,Integration,Interior Design,Java,Mixed-use",12 months renewable contract
4308,"Senior Associate, Assistant Lead DC Tape & Key Management, Technology Services,T&O (WD03923)","Accounting,Auditing,Business Development,Business Strategy,Corporate Finance,Due Diligence,Finance,Financial Analysis,Financial Modeling,Financial Reporting,Investments,Leadership,Management",business function group technology operations enables empowers bank efficient nimble resilient infrastructure strategic focus productivity quality control technology people capability innovation group manage majority bank 's operational processes inspire delight business partners multiple banking delivery channels responsibilities monitors tape inventory data centres well generate tape list reports coordinate tape movements removing tapes tape library performs patch updates tape tracking software upgrades checks takes stock tape inventory half yearly basis maintains log book keys carries verification performs daily verification key module reports verifies drive portable hard disk drives ensure approved devices used data centres keeps updated inventory list keys using key management system keeps track issued returned keys ensures keys used authorised personnel remove keys whenever necessary verifies daily reports performs patch updates upgrades software keeps updated list authorised keeps updated list authorised system administrators personnel accessing different areas data centres according roles reviews updates process documents performs tapes hard disk drives vendors devices provides support data centre asset includes generating list servers prepare rack keys servers coordinating vendors asset team activities
